Distance,Physical Error Probability,Logical Error Probability,Error Bar
5,0.01,0.0005,0.0004998749843710925
5,0.013877551020408163,0.0025,0.001116635571706365
5,0.017755102040816328,0.002,0.0009989994994993741
5,0.021632653061224492,0.004,0.001411382301150188
5,0.025510204081632654,0.0085,0.0020527725154044713
5,0.029387755102040815,0.0095,0.002169072382379159
5,0.03326530612244898,0.017,0.002890588175441116
5,0.037142857142857144,0.0215,0.003243281517229116
5,0.041020408163265305,0.027,0.0036242930345103167
5,0.04489795918367347,0.03,0.00381444622455213
5,0.048775510204081635,0.033,0.003994433626936364
5,0.052653061224489796,0.039,0.004328914413568372
5,0.056530612244897964,0.0505,0.00489641450451246
5,0.060408163265306125,0.051,0.004919298730510275
5,0.06428571428571428,0.06,0.0053103672189407005
5,0.06816326530612245,0.08,0.00606630035524124
5,0.07204081632653062,0.0755,0.005907611615534657
5,0.07591836734693877,0.092,0.006462816723379984
5,0.07979591836734694,0.1,0.00670820393249937
5,0.08367346938775509,0.118,0.007213736895673421
5,0.08755102040816326,0.1175,0.007200477414727443
5,0.09142857142857143,0.132,0.007568883669339885
5,0.09530612244897958,0.143,0.007827866886962246
5,0.09918367346938775,0.1645,0.008289745170992895
5,0.10306122448979592,0.1595,0.008187177474563502
5,0.10693877551020407,0.1865,0.008709700052240605
5,0.11081632653061224,0.186,0.008700689627839852
5,0.11469387755102041,0.206,0.009043340090917736
5,0.11857142857142856,0.214,0.009170714257897256
5,0.12244897959183673,0.2345,0.009473904949913736
5,0.1263265306122449,0.2335,0.009459855971419438
5,0.13020408163265307,0.259,0.009795891996137973
5,0.13408163265306122,0.2525,0.009714518773464798
5,0.1379591836734694,0.263,0.009844567029585404
5,0.14183673469387756,0.2825,0.010067118505312231
5,0.1457142857142857,0.286,0.010104553429023966
5,0.1495918367346939,0.295,0.010197426145846804
5,0.15346938775510205,0.291,0.010156746526324263
5,0.1573469387755102,0.3185,0.010417719280149566
5,0.16122448979591839,0.3245,0.010468995892634595
5,0.16510204081632654,0.3435,0.010618562755853544
5,0.1689795918367347,0.356,0.010706633457814833
5,0.17285714285714288,0.3575,0.01071666342664544
5,0.17673469387755103,0.3415,0.010603719866160178
5,0.18061224489795918,0.363,0.010752464833702085
5,0.18448979591836737,0.3795,0.010850800661702343
5,0.18836734693877552,0.385,0.010880602005403929
5,0.19224489795918367,0.3925,0.010918877002695835
5,0.19612244897959186,0.394,0.0109262070271435
5,0.2,0.404,0.010972328832112169
Distance,Physical Error Probability,Logical Error Probability,Error Bar
7,0.01,0.0,0.0
7,0.013877551020408163,0.0,0.0
7,0.017755102040816328,0.0015,0.0008653756409791069
7,0.021632653061224492,0.004,0.001411382301150188
7,0.025510204081632654,0.0095,0.002169072382379159
7,0.029387755102040815,0.01,0.0022248595461286987
7,0.03326530612244898,0.009,0.002111752826445368
7,0.037142857142857144,0.0195,0.0030919047527373806
7,0.041020408163265305,0.0275,0.0036567574434189644
7,0.04489795918367347,0.038,0.004275277768753745
7,0.048775510204081635,0.0425,0.0045107510461119445
7,0.052653061224489796,0.0525,0.004987171041783107
7,0.056530612244897964,0.0575,0.005205465877325487
7,0.060408163265306125,0.0795,0.006048956521582875
7,0.06428571428571428,0.0755,0.005907611615534657
7,0.06816326530612245,0.112,0.007051808278732484
7,0.07204081632653062,0.1175,0.007200477414727443
7,0.07591836734693877,0.118,0.007213736895673421
7,0.07979591836734694,0.1475,0.007929178709046731
7,0.08367346938775509,0.166,0.008319975961503736
7,0.08755102040816326,0.1715,0.00842875287334965
